Project Name,Test Companion Mobile Testing
Build Name,ANDROID Session
Build ID,"=""330044"""
Created By,Saidinesh Narisetti
Created At,2026-09-19T07:41:00.209Z
WCAG Version,WCAG 2.2 AAA
Excluded Rules,None
Excluded Rules Categories,None
App Package Name,com.hackathonqa.encore
App Version,"="""""
Auto Scanning,true
Issue Summary,"Total 209, Critical 0, Serious 191, Moderate 10, Minor 8"
Snapshot Count,"=""8"""
Report Link,https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr

Test Name,Device,Issue Type,Issue Description,WCAG,Severity,Element ID,Scan Number,Issue Index,Needs Review,Test Excluded Rules,Test Excluded Rule Categories,Duplicate,Experimental,Issue Details,How to Fix,Element Properties,Issue Link,Docs Link
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Sports,3,5,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""72\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '72 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Sports\""""},{""frame"":""{\""x\"":454,\""y\"":285,\""width\"":218,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""72\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjUifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,my-bookings-nav-button,3,6,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""91\"""",""calculatedHeight"":""\""20\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '91 x 20'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""my-bookings-nav-button\""""},{""frame"":""{\""x\"":757,\""y\"":134,\""width\"":275,\""height\"":61}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""91\""""},{""calculatedHeight"":""\""20\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjYifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Accessibility Label at front,"As a best practice, text of the label should be at the start of the accessible name.",Best Practice,Minor,category-filter-chip-Classical,3,7,No,None,None,TRUE,FALSE,"{""visibleText"":""\""Classical\"""",""detectedLabel"":""\""Filter by Classical, Button\""""}",Ensure that accessibilityLabel or child begins with the visually presented text defined in the visibleText to fix this issue.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Classical\""""},{""frame"":""{\""x\"":957,\""y\"":285,\""width\"":123,\""height\"":107}""},{""visibleText"":""\""Classical\""""},{""text"":""\""\""""},{""accessible"":true},{""accessibilityLabel"":""\""Filter by Classical\""""},{""accessibilityHint"":""\""\""""},{""detectedLabel"":""\""Filter by Classical, Button\""""},{""isCheckable"":false},{""accessibilityState"":""\""\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoibGFiZWwtYXQtZnJvbnQiLCJpc3N1ZV9pbmRleCI6IjcifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/label-at-front
Mobile App Accessibility Exploration, v,Accessibility Label at front,"As a best practice, text of the label should be at the start of the accessible name.",Best Practice,Minor,category-filter-chip-Theater,3,8,No,None,None,TRUE,FALSE,"{""visibleText"":""\""Theater\"""",""detectedLabel"":""\""Filter by Theater, Button\""""}",Ensure that accessibilityLabel or child begins with the visually presented text defined in the visibleText to fix this issue.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Theater\""""},{""frame"":""{\""x\"":696,\""y\"":285,\""width\"":237,\""height\"":107}""},{""visibleText"":""\""Theater\""""},{""text"":""\""\""""},{""accessible"":true},{""accessibilityLabel"":""\""Filter by Theater\""""},{""accessibilityHint"":""\""\""""},{""detectedLabel"":""\""Filter by Theater, Button\""""},{""isCheckable"":false},{""accessibilityState"":""\""\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoibGFiZWwtYXQtZnJvbnQiLCJpc3N1ZV9pbmRleCI6IjgifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/label-at-front
Mobile App Accessibility Exploration, v,Accessibility Label at front,"As a best practice, text of the label should be at the start of the accessible name.",Best Practice,Minor,category-filter-chip-Music,3,9,No,None,None,TRUE,FALSE,"{""visibleText"":""\""Music\"""",""detectedLabel"":""\""Filter by Music, Button\""""}",Ensure that accessibilityLabel or child begins with the visually presented text defined in the visibleText to fix this issue.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Music\""""},{""frame"":""{\""x\"":221,\""y\"":285,\""width\"":209,\""height\"":107}""},{""visibleText"":""\""Music\""""},{""text"":""\""\""""},{""accessible"":true},{""accessibilityLabel"":""\""Filter by Music\""""},{""accessibilityHint"":""\""\""""},{""detectedLabel"":""\""Filter by Music, Button\""""},{""isCheckable"":false},{""accessibilityState"":""\""\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoibGFiZWwtYXQtZnJvbnQiLCJpc3N1ZV9pbmRleCI6IjkifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/label-at-front
Mobile App Accessibility Exploration, v,Accessibility Label at front,"As a best practice, text of the label should be at the start of the accessible name.",Best Practice,Minor,category-filter-chip-All,3,10,No,None,None,TRUE,FALSE,"{""visibleText"":""\""All\"""",""detectedLabel"":""\""selected, Filter by All, Button\""""}",Ensure that accessibilityLabel or child begins with the visually presented text defined in the visibleText to fix this issue.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-All\""""},{""frame"":""{\""x\"":48,\""y\"":285,\""width\"":149,\""height\"":107}""},{""visibleText"":""\""All\""""},{""text"":""\""\""""},{""accessible"":true},{""accessibilityLabel"":""\""Filter by All\""""},{""accessibilityHint"":""\""\""""},{""detectedLabel"":""\""selected, Filter by All, Button\""""},{""isCheckable"":false},{""accessibilityState"":""\""\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoibGFiZWwtYXQtZnJvbnQiLCJpc3N1ZV9pbmRleCI6IjEwIn0=,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/label-at-front
Mobile App Accessibility Exploration, v,Accessibility Label at front,"As a best practice, text of the label should be at the start of the accessible name.",Best Practice,Minor,category-filter-chip-Sports,3,11,No,None,None,TRUE,FALSE,"{""visibleText"":""\""Sports\"""",""detectedLabel"":""\""Filter by Sports, Button\""""}",Ensure that accessibilityLabel or child begins with the visually presented text defined in the visibleText to fix this issue.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Sports\""""},{""frame"":""{\""x\"":454,\""y\"":285,\""width\"":218,\""height\"":107}""},{""visibleText"":""\""Sports\""""},{""text"":""\""\""""},{""accessible"":true},{""accessibilityLabel"":""\""Filter by Sports\""""},{""accessibilityHint"":""\""\""""},{""detectedLabel"":""\""Filter by Sports, Button\""""},{""isCheckable"":false},{""accessibilityState"":""\""\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoibGFiZWwtYXQtZnJvbnQiLCJpc3N1ZV9pbmRleCI6IjExIn0=,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/label-at-front
Mobile App Accessibility Exploration, v,Text Element Color Contrast (Minimum),Text elements should have a minimum contrast ratio with their background: 4.5:1 for small text and 3:1 for large text.,WCAG 2.2-1.4.3 AA,Serious,N/A,3,12,No,None,None,FALSE,FALSE,"{""detectedForegroundColor"":""\""#9497AD\"""",""detectedBackgroundColor"":""\""#FFFFFF\"""",""calculatedColorContrast"":2.88}",Adjust the color of the text element or its background to meet the specified minimum contrast ratio.,"[{""className"":""\""android.widget.TextView\""""},{""viewId"":null},{""frame"":""{\""x\"":96,\""y\"":532,\""width\"":888,\""height\"":53}""},{""visibleText"":""\""Fri, Oct 9, 2026 · 7:30 PM\""""},{""accessible"":true},{""detectedForegroundColor"":""\""#9497AD\""""},{""detectedBackgroundColor"":""\""#FFFFFF\""""},{""fontSize"":""\""13.0\""""},{""isPotentiallyObscured"":false},{""calculatedColorContrast"":2.88}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoidGV4dC1jb2xvci1jb250cmFzdCIsImlzc3VlX2luZGV4IjoiMTIifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/text-element-color-contrast
Mobile App Accessibility Exploration, v,Missing Heading,Ensure that text elements visually functioning as headings are programmatically marked as headings,WCAG 2.2-1.3.1 A,Moderate,N/A,3,13,No,None,None,TRUE,FALSE,"{""text"":""\""Events\"""",""isHeading"":false}",Ensure the elements serving as headings visually are programmatically marked as heading in respective frameworks,"[{""className"":""\""android.widget.TextView\""""},{""frame"":""{\""x\"":48,\""y\"":124,\""width\"":182,\""height\"":81}""},{""text"":""\""Events\""""},{""detectedLabel"":""\""\""""},{""accessible"":true},{""isHeading"":false}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjoyLCJydWxlX2lkIjoibWlzc2luZy1oZWFkaW5nIiwiaXNzdWVfaW5kZXgiOiIxMyJ9,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/content-structure/missing-heading
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Classical,4,1,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""41\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '41 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Classical\""""},{""frame"":""{\""x\"":957,\""y\"":285,\""width\"":123,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""41\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjozLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjEifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Theater,4,2,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""79\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '79 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Theater\""""},{""frame"":""{\""x\"":696,\""y\"":285,\""width\"":237,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""79\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjozLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjIifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Music,4,3,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""69\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '69 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Music\""""},{""frame"":""{\""x\"":221,\""y\"":285,\""width\"":209,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""69\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjozLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjMifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-All,4,4,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""49\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '49 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-All\""""},{""frame"":""{\""x\"":48,\""y\"":285,\""width\"":149,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""49\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjozLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjQifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
Mobile App Accessibility Exploration, v,Touch Target Size,"Ensure that each interactive UI element has a focusable area, or touch target size, of at least 44x44 dp, logical pixels or equivalent",WCAG 2.2-2.5.5 AAA,Serious,category-filter-chip-Sports,4,5,No,None,None,FALSE,FALSE,"{""calculatedWidth"":""\""72\"""",""calculatedHeight"":""\""35\""""}",Users with motor limitations will find it difficult to accurately activate elements with the observed touch target size of '72 x 35'. The expected touch target size should be at minimum '44 x 44' to ensure accessibility and ease of use for all users.,"[{""className"":""\""android.widget.Button\""""},{""viewId"":""\""category-filter-chip-Sports\""""},{""frame"":""{\""x\"":454,\""y\"":285,\""width\"":218,\""height\"":107}""},{""visibleText"":""\""\""""},{""accessible"":true},{""isVisibleToUser"":true},{""isClickable"":true},{""isLongClickable"":false},{""screenWidth"":""\""\""""},{""screenHeight"":""\""\""""},{""screenDotsPerInch"":""\""\""""},{""calculatedWidth"":""\""72\""""},{""calculatedHeight"":""\""35\""""}]",https://app-accessibility.browserstack.com/automated-tests/projects/4149340/builds/ANDROID+Session/1?thBuildId=wrz9clzrcfubqmwsuh92jwvjweufztcted7tynwr&activeTab=all_issues&locator=eyJzbmFwX2luZGV4IjozLCJydWxlX2lkIjoidG91Y2gtdGFyZ2V0LXNpemUiLCJpc3N1ZV9pbmRleCI6IjUifQ==,https://www.browserstack.com/docs/app-accessibility/rule-repository/rules-list/touch-target-size
